name,address,latitude,longitude,city,state,stars,review_count,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,estrellas
Acme Oyster House,724 Iberville St,29.9543,-90.069,New Orleans,LA,4.0,7568,11:00-14:00,11:00-14:00,11:00-14:00,11:00-21:00,11:00-21:00,17:00-21:00,00:00-00:00,AAAAC
Oceana Grill,739 Conti St,29.9562,-90.0676,New Orleans,LA,4.0,7400,09:00-21:00,00:00-00:00,09:00-21:00,09:00-21:00,09:00-19:00,08:00-16:00,00:00-00:00,AAAAC
Hattie B’s Hot Chicken - Nashville,112 19th Ave S,36.1514,-86.7966,Nashville,TN,4.5,6093,00:00-00:00,16:30-21:30,16:30-21:30,16:30-21:30,16:30-22:30,11:00-22:30,11:30-21:00,AAAAB
Reading Terminal Market,51 N 12th St,39.9533,-75.1589,Philadelphia,PA,4.5,5721,15:00-03:00,15:00-03:00,15:00-03:00,15:00-03:00,15:00-03:00,15:00-03:00,11:00-03:00,AAAAB
Ruby Slipper - New Orleans,200 Magazine St,29.951,-90.0674,New Orleans,LA,4.5,5193,00:00-00:00,00:00-00:00,00:00-00:00,12:00-18:00,12:00-15:00,12:00-18:00,12:00-16:00,AAAAB
Mother's Restaurant,401 Poydras St,29.9491,-90.067,New Orleans,LA,3.5,5185,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-22:00,08:30-22:00,00:00-00:00,AAABC
Royal House,441 Royal St,29.9565,-90.0664,New Orleans,LA,4.0,5070,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAAAC
Commander's Palace,1403 Washington Ave,29.9287,-90.0842,New Orleans,LA,4.5,4876,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAAAB
Luke,333 Saint Charles Ave,29.9507,-90.0704,New Orleans,LA,4.0,4554,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAAAC
